time,par,"(0.0124,0.0129]","(0.0129,0.0133]","(0.0133,0.0138]","(0.0138,0.0143]","(0.0143,0.0148]","(0.0148,0.0153]","(0.0153,0.0158]","(0.0158,0.0164]","(0.0164,0.017]","(0.017,0.0176]","(0.0176,0.0182]","(0.0182,0.0188]","(0.0188,0.0195]","(0.0195,0.0202]","(0.0202,0.0209]","(0.0209,0.0216]","(0.0216,0.0224]","(0.0224,0.0232]","(0.0232,0.024]","(0.024,0.0248]","(0.0248,0.0257]","(0.0257,0.0266]","(0.0266,0.0276]","(0.0276,0.0285]","(0.0285,0.0295]","(0.0295,0.0306]","(0.0306,0.0317]","(0.0317,0.0328]","(0.0328,0.0339]","(0.0339,0.0351]","(0.0351,0.0364]","(0.0364,0.0377]","(0.0377,0.039]","(0.039,0.0404]","(0.0404,0.0418]","(0.0418,0.0433]","(0.0433,0.0448]","(0.0448,0.0464]","(0.0464,0.048]","(0.048,0.0497]","(0.0497,0.0514]","(0.0514,0.0533]","(0.0533,0.0551]","(0.0551,0.0571]","(0.0571,0.0591]","(0.0591,0.0612]","(0.0612,0.0633]","(0.0633,0.0656]","(0.0656,0.0679]","(0.0679,0.0703]","(0.0703,0.0728]","(0.0728,0.0753]","(0.0753,0.078]","(0.078,0.0807]","(0.0807,0.0836]","(0.0836,0.0865]","(0.0865,0.0896]","(0.0896,0.0927]","(0.0927,0.096]","(0.096,0.0994]","(0.0994,0.103]","(0.103,0.106]","(0.106,0.11]","(0.11,0.114]","(0.114,0.118]"
2015-07-27T01:00:06Z,2181.73,0,0,0,48.342,357.73,1092.526,1633.954,1991.684,2291.403,2252.73,2620.128,2697.475,3848.011,3964.031,3760.995,4843.852,5433.623,5269.261,4824.516,5037.22,5394.949,5095.23,5520.638,4534.465,5095.23,5095.23,4814.847,4727.832,3867.347,4215.409,4196.072,3964.031,4109.056,4031.71,3693.317,3790,3064.873,3287.245,2745.817,2165.714,1798.316,1343.903,1005.51,792.806,464.082,435.077,386.735,348.061,135.357,116.02,77.347,87.015,125.689,87.015,48.342,48.342,9.668,19.337,9.668,0,0,0,0,0,0
2015-07-27T01:03:06Z,1602.76,0,0,0,123.902,362.174,1172.299,1829.93,2125.387,2182.573,2516.154,2659.117,2525.685,3574.082,3621.737,4412.8,4088.75,5461.197,5337.296,5156.209,5175.271,5594.63,4908.406,5861.495,4365.146,4774.974,5308.703,4689.196,4498.578,3669.391,4355.615,4365.146,3983.91,3907.663,3821.885,3164.254,3802.823,3640.798,2973.636,2592.401,2268.351,1934.77,1744.152,1086.521,867.311,609.977,457.483,400.297,324.05,171.556,200.149,142.963,57.185,47.654,28.593,38.124,19.062,9.531,9.531,0,0,0,0,0,0,0
2015-07-27T01:06:07Z,1183.26,0,0,0,194.107,475.563,1096.706,1698.438,2212.822,2436.045,2329.286,2533.099,2960.135,3571.572,4027.724,4192.716,4493.582,5376.769,5172.957,4949.734,5347.653,5609.698,4590.635,5590.287,4687.689,5143.841,5037.082,4716.805,4493.582,4056.84,4348.001,4474.171,3853.028,3911.26,4163.599,3658.921,3736.564,3532.751,2882.492,2261.349,2135.179,1902.251,1378.161,1067.59,834.661,689.081,533.795,310.572,223.223,184.402,203.813,116.464,48.527,77.643,29.116,19.411,9.705,19.411,29.116,0,0,0,0,0,0,0
2015-07-27T01:09:07Z,1343.74,0,0,0,86.754,626.554,1224.19,1735.072,2245.955,2091.726,2313.43,2747.198,2679.723,3874.995,3768.963,4270.206,4520.827,5465.478,4675.056,5282.331,4829.285,5185.939,4376.238,5745.017,4569.024,4424.435,5330.528,4472.631,4231.649,3797.881,4501.549,4520.827,4154.534,4096.699,3508.702,3730.406,3393.03,3026.737,2891.787,2515.855,2197.758,1715.794,1368.779,1041.043,751.865,578.357,366.293,318.097,221.704,183.147,134.95,125.311,125.311,38.557,19.279,28.918,38.557,19.279,38.557,0,0,0,0,0,0,0
2015-07-27T01:12:07Z,1323.36,0,0,0,143.3,544.539,955.331,1652.722,2254.581,2455.2,2588.947,2655.82,2808.673,3372.318,3859.537,4298.989,4872.187,5044.147,5158.787,5034.594,4910.401,5846.625,5101.467,5474.046,4967.721,4556.928,5225.66,4833.974,4528.268,4012.39,3897.75,4107.923,3849.983,4050.603,3830.877,3611.151,3200.358,2961.526,2904.206,2455.2,2092.175,1585.849,1366.123,964.884,792.925,697.392,429.899,286.599,267.493,277.046,200.619,85.98,47.767,76.426,47.767,47.767,57.32,9.553,19.107,0,0,0,0,0,0,0
2015-07-27T01:15:07Z,1605.06,0,0,0,172.763,403.113,1065.37,1708.432,2149.937,2533.854,2610.637,2802.596,3090.534,4031.131,3839.173,4568.616,4338.265,5106.1,5096.502,5038.914,4962.131,5480.419,4741.378,5422.831,4693.389,4491.832,4981.327,4357.461,4501.43,4079.121,3992.74,4405.451,3973.544,4098.317,3915.956,3560.833,3436.06,3013.751,3023.349,2361.091,1957.978,1689.236,1218.937,902.206,787.03,441.505,383.917,201.557,182.361,201.557,105.577,57.588,57.588,124.773,47.99,57.588,38.392,9.598,9.598,0,0,0,0,0,0,0
2015-07-27T01:18:08Z,1626.2,0,0,0,142.459,550.84,1149.167,1472.074,2155.876,2032.411,2573.755,2535.766,2830.18,3922.364,4150.298,4501.696,4473.205,5213.99,4843.597,5100.023,5308.963,5441.924,4748.625,5679.355,4444.713,4549.183,4720.133,4777.117,4511.194,3969.85,4378.232,4150.298,4169.293,3922.364,3627.949,2934.65,3371.524,3134.092,3029.623,2079.898,1927.942,1728.499,1272.631,845.255,731.288,512.851,436.873,313.409,170.95,199.442,199.442,123.464,28.492,28.492,66.481,28.492,9.497,18.994,28.492,28.492,0,0,0,0,0,0
2015-07-27T01:21:08Z,1358,0,0,0,164.943,436.613,1300.136,1659.128,2095.741,2736.107,2580.867,2920.454,2852.537,3881.002,3881.002,4521.368,4579.583,5084.113,5152.031,5171.436,5103.518,5239.353,4909.468,5491.618,4540.773,4977.385,5413.998,4540.773,4472.855,4172.077,3939.217,4181.78,3929.515,3803.382,4026.54,3725.762,3298.852,3036.884,3036.884,2377.114,2144.254,1455.376,1203.111,950.846,640.365,494.828,514.233,358.993,203.753,261.968,145.538,106.728,106.728,87.323,58.215,29.108,19.405,19.405,19.405,9.703,0,0,0,0,0,0
2015-07-27T01:24:08Z,1398.5,0,0,0,116.612,427.576,1020.352,1924.092,2205.903,2225.338,2584.891,2691.785,2720.938,3857.901,4120.277,4470.112,4810.229,5918.04,5189.217,5169.782,5237.805,5966.628,4858.817,5509.899,4557.571,5024.017,5111.476,4703.335,4761.641,4139.712,4285.477,4324.348,4042.536,4052.254,4198.018,3576.09,3566.372,2944.443,2905.573,2089.291,2040.703,1622.845,1379.904,845.434,670.517,534.47,408.141,233.223,262.376,136.047,145.765,155.482,48.588,77.741,29.153,48.588,19.435,0,9.718,9.718,0,0,0,0,0,0
2015-07-27T01:27:08Z,1239.81,0,0,0,170.798,426.995,1167.121,1603.605,2277.309,2343.73,2277.309,2742.259,3207.21,3681.649,4137.111,3947.335,4677.972,5494.007,5380.142,5095.478,4886.725,5437.075,4658.994,5531.962,4412.286,4583.084,4829.792,4545.129,4184.555,4061.201,3890.402,4070.689,3852.447,3805.003,4108.644,3501.362,3491.873,3463.407,2913.057,2296.286,2002.134,1527.695,1186.098,844.502,597.794,502.906,483.928,360.574,199.265,123.354,151.821,132.843,56.933,75.91,37.955,18.978,18.978,18.978,28.466,0,0,0,0,0,0,0
