time,par
2014-12-09 22:55:33,199.012
2014-12-09 22:58:33,199.776
2014-12-09 23:01:34,198.019
2014-12-09 23:04:34,198.222
2014-12-09 23:07:34,198.273
2014-12-09 23:10:34,198.783
2014-12-09 23:13:35,196.771
2014-12-09 23:16:35,196.975
2014-12-09 23:19:35,203.978
2014-12-09 23:22:35,197.84
2014-12-09 23:25:35,196.338
2014-12-09 23:28:36,196.924
2014-12-09 23:31:36,197.485
2014-12-09 23:34:36,197.51
2014-12-09 23:37:36,195.779
2014-12-09 23:40:36,197.18
2014-12-09 23:43:37,194.683
2014-12-09 23:47:24,195.626
2014-12-09 23:50:24,195.6
2014-12-09 23:53:25,195.09
2014-12-09 23:56:25,196.338
2014-12-09 23:59:25,194.963
2014-12-10 00:00:01,193.613
2014-12-10 00:03:02,193.715
2014-12-10 00:06:02,191.932
2014-12-10 00:09:02,191.423
2014-12-10 00:12:02,192.85
2014-12-10 00:15:03,192.366
2014-12-10 00:18:03,189.717
2014-12-10 00:21:03,190.991
2014-12-10 00:24:03,190.812
2014-12-10 00:27:03,189.793
2014-12-10 00:30:04,189.922
2014-12-10 00:33:04,188.699
2014-12-10 00:36:04,186.916
2014-12-10 00:39:04,187.374
2014-12-10 00:42:04,184.98
2014-12-10 00:45:05,185.184
2014-12-10 00:48:05,185.898
2014-12-10 00:51:05,185.744
2014-12-10 00:54:05,183.937
2014-12-10 00:57:05,182.536
2014-12-10 01:00:06,182.816
2014-12-10 01:03:06,181.697
2014-12-10 01:06:06,178.182
2014-12-10 01:09:06,178.309
2014-12-10 01:12:06,176.68
2014-12-10 01:15:07,177.699
2014-12-10 01:18:07,174.159
2014-12-10 01:21:07,173.37
2014-12-10 01:24:07,175.84
2014-12-10 01:27:07,173.956
2014-12-10 01:30:08,171.255
2014-12-10 01:33:08,171.281
2014-12-10 01:36:08,169.499
2014-12-10 01:39:08,169.015
2014-12-10 01:42:08,165.602
2014-12-10 01:45:09,163.692
2014-12-10 01:48:09,163.183
2014-12-10 01:51:09,162.369
2014-12-10 01:54:09,160.127
2014-12-10 01:57:10,158.6
2014-12-10 02:00:10,157.861
2014-12-10 02:03:10,156.053
2014-12-10 02:06:10,151.571
2014-12-10 02:09:10,150.552
2014-12-10 02:12:11,146.25
2014-12-10 02:15:11,147.524
2014-12-10 02:18:11,144.493
2014-12-10 02:21:11,139.401
2014-12-10 02:24:12,139.173
2014-12-10 02:27:12,136.22
2014-12-10 02:30:12,132.527
2014-12-10 02:33:12,128.223
2014-12-10 02:36:12,127.46
2014-12-10 02:39:13,124.913
